line_no	text	annotation
86	فهو جوابنا والحاصل أن الجانبين وإن كانا أعم من المعلل والسائل في اللغة لكنهما في عرف	Conclusion: in technical usage the phrase points primarily to the two debate roles.
87	هذا الفن موضعان لهما وضعاً أولياً فدلالتهما على المعلل والسائل أولية دون غيرها	In the discipline's convention, those roles are the default reference.
88	قوله ويحترز بذلك إلخ فإنه يصدق على ما ذكر أنه نظر بالبصيرة من الجانبين في النسبة لكن لا بين 	The exclusion clause prevents overextension of the definition.
89	الشيئين المعنيين فلم يكن مناظرة أصلاً إذ المناظرة يجب أن يكون المحكوم عليه وبه فيها	Debate requires determinate subject and predicate, not mere bilateral attention.
90	متعينين بتعين محل النزاع ويظهر صحة كلام الجانبين وفساده على ما حقق في المطولات	Correctness and falsity can only be assessed once the issue is fixed.
91	قوله وإلا لاختص إلخ يعني لو لم يجعل هذا القيد احترازياً لاختص النظر في النية	Without the clause, the definition would narrow improperly.
92	بالصورة المذكورة أي بين الموضوع والمحمول والمقدم والتالي لأن النسبة لا تكون إلا 	It would be restricted to relations like subject-predicate or antecedent-consequent.
93	 لا تكون إلا بين الشيئين فيكون هذا القيد ببيان الواقع وهو خلاف الأصل أورد 	He rejects making the clause merely descriptive rather than restrictive.
94	Folio 3	Folio marker for the third manuscript page.
95	في هذا المقام بحث مشهور وهو أن النظر في المحكوم عليه وبه بحسب الحقيقة نظر	A famous objection is introduced about considering subject and predicate.
96	في النسبة فإن النظر من الجانبين لا يتصور إلا إذا انعقد هناك قضية وكذا الكلام في حقيقة 	Such consideration already implies a proposition and relation.
97	النسبة فإنه إذا كان من الجانبين لا يتصور إلا إذا انعقد هناك قضية وإذا كان كذلك فكيف	If so, how can it be excluded from the definition of debate?
98	يحترز عنه وأجيب عنه بأن المحكوم عليه وبه يلزم أن يكون مأخوذاً في تلك	Response: subject and predicate may be considered in a non-debative way.
99	النظر والالتفات ليس بمناظرة وإن كان النظر الواقع في تلك القضية مناظرة والمراد 	Attention to the terms alone is not identical with debate over the proposition.
100	من النظر الواقع في المحكوم عليه وبه وهو الأول فيجب التحرز عنه وكذا الكلام في النظر في	The definition excludes only the first sort of attention.
101	حقيقة النسبة فتأمل قوله ثم إن قصد إظهار الصواب إلخ إشارة إلى دفع ما يقال	He now addresses the clause "aiming to manifest the truth".
102	إنه قد يكون الغرض من جانبي الخصومة تغليظ الخصم صاحبه فلا يصدق	Objection: some debaters seek to overpower an opponent, not reveal truth.
103	عليه هذا التعريف وتقرير ما ذكره أن غرضه إظهار الصواب لا تنافي غرضية 	Response: apparent truth-seeking can coexist with a motive of humiliation.
104	التغليظ لأن المناظرة المغالط بحسب [الظاهر] صدر أن بحثه لإظهار الصواب غاية	Outwardly, even the sophist presents his debate as truth-directed.
105	ما في الباب أن الإصابة لا تكون غرضاً له لا يلزم من عدم كون غرض المناظرة الإصابة أن 	His inner aim may differ from the formal aim of the debate act.
106	لا يكون إظهارها غرضاً له ولكن أن تقول إن أريد بالغرض ما هو غرض بحسب الحقيقة	He distinguishes real inner motive from formal or apparent end.
107	فلا نسلم إظهار الصواب غرض للمغالط بحسب الحقيقة وإن أريد به ما هو غرض 	For the sophist, truth is not the real final cause.
108	بحسب [الظاهر] فعدم التنافي بين الغرضين مسلم لكن الكلام فيما هو غرض	At the level of outward procedure, however, both aims can coexist.
109	بحسب الحقيقة واعلم أن الشارح قد تابع المدقق مسعود الرومي في هذا المقام لكن	The sharh follows Mas'ud al-Rumi here, but a further objection is raised.
110	اعترض عليه الفاضل الحنفي بأن ذلك مبني على جواز تعدد العلة الغائية وهو مم 	A Hanafi scholar objects that this assumes multiple final causes.
111	لأن الباعثة على إقدام الفاعل على الفعل فإن كان الباعث مجموع الأمرين فهو علة 	If both motives jointly move the act, the final cause is their composite.
112	غائية لا كل واحد منهما وإن كان كل واحد على حدة كذلك لزم توارد العلتين 	If each independently explains the act, two causes converge on one effect.
113	المستقلتين على معلول واحد مشخص وهو مم وإن كان واحد منهما كذلك فقط	That convergence is rejected; only one can be the true final cause.
114	فهو علة غائية لا غير ومنه علم ضعف القول بجواز تعددها فليتأمل	He concludes that the multiplicity thesis is weak.
115	قضى في هذا التعريف إلخ قد يجاب عنه بأن المنع المجرد ليس من المناظرة إذ ليس	Another reply: bare denial is not really part of debate.
116	من البحث في شيء بناء على أن المبحث عبارة من إثبات النسبة الحكمية إيجابية 	Debate concerns establishing or negating a predicative relation by reasoning.
117	كانت أو سلبية بطريق الاستدلال أعم من أن يكون دليلاً أو صورة الدليل على ما	This includes full proof or proof-form, whether affirmative or negative.
118	هو المشهور من معانيه الاصطلاحية ويكون ذكرهم المنع المجرد استطرادياً وقد 	Thus references to bare denial may be incidental rather than essential.
119	وقد بينا من قبل ما يدفع هذا الإشكال فكن على ما ذكر منه.قوله وأجيب بأن	He indicates that earlier analysis already handled the issue.
120	المنع إلخ إن كان مراده بالنظر في قوله من قبيل النظر فيها بمعنى الفكر فهو صحيح	If naẓar means thought, the prior answer works.
121	لكنه ليس بمرضيّ ضده وإن مراد النظر بمعنى التوجه كما هو تفسيره فلا معنى لإقحام	If naẓar means mere orientation, the wording becomes awkward.
122	لفظ القبيل فتأمل.قوله وسيجيء تفصيلها ملخص التفصيل الآتي أن 	He moves to the promised classification of opposition.
123	المعارضة على قسمين معارضة في الدليل ومعارضة في المقدمة وإن الأولى تنقسم	Mu'arada is divided into opposition to the proof and opposition to a premise.
124	إلى القلب والمثل والغير وقد جعل المقسم ههنا مطلق المعارضة فتدبرها قوله       	The first type is further divided into qalb, mithl, and ghayr.
125	لأنه إما أن يمنع مقدمة الدليل اعلم أن المقدمة تطلق تارة على ما يتوقف عليه	He pauses over the term muqaddima, noting its several meanings.
126	الأبحاث الآتية وتارية على قضية جعلت جزء قياس وتارة على ما يتوقف عليه 	A premise may be part of a syllogism or a condition of valid proof.
127	صحة الدليل والمراد بالمقدمة هنا أحد المعنيين والمعنى الأول أعم من الآخرين	Here one of these technical senses is intended, with one broader than the rest.
128	لأن كل ما جعل جزء دليل أو يتوقف عليه صحة الدليل يتوقف عليه الأبحاث الآتية	Anything that is part of proof or required for proof conditions later inquiry.
129	من غير عكس كما يجاب الصغرى وكلية الكبرى فإن صحة الدليل بل هنا خارجان	The relation is one-way, as shown through syllogistic examples.
130	عنه هذا ثم الدليل هنا عبارة عن المركب من قضيتين للتأدي إلى مجهول نظري	He defines proof here as a compound of two propositions yielding theoretical knowledge.
131	وهذا أولى من تعريفه بما يلزم من العلم به العلم بشيء آخر على ما هو المشهور لانتقاضه 	He prefers this over the broad standard definition of dalil.
132	طرداً بالمعرفات بالنسبة على معرفاتها والملزومات بالنسبة إلى لوازمها البينة و	The standard definition overgenerates, including definitions and obvious concomitants.
133	عكساً بالأدلة الغير البينة الإنتاج وبالدليل الفاسدة الصورة سواء كان على 	It also undergenerates by excluding some inferential forms and malformed proofs.
134	الصحة أو على قصد التغليظ كقولنا الإنسان حيوان والحيوان جنس لإثبات الإنسان 	He gives a faulty argument example to show the problem.
135	جنس وفساد الصورة فيه باعتبار أن الكبرى ليست كلية بخلاف التعريف الأول	The form fails because the major premise is not universal.
136	على ما قيل فتأمل قوله وإنما قدم منع المقدمة إلخ الجواب لإيراد مشهور	He turns to why denial of a premise is discussed before other moves.
137	 وهوان ترتب المنوع على ما ذكره الإمام الرازي في المحاكمات هو أن النقيض	Razi's ordering gives priority differently, raising an objection.
138	مقدم على المناقضة وهي على المعارضة وهذا ما يقتضيه طبع البحث فإن الدليل 	Natural procedure seems to prioritize refutation of the proof itself.
139	Folio 4	Folio marker for the fourth manuscript page.
140	موصل قريب إلى المطلوب ومقدماته موصلات بعيدة والنظر في الموصل	The full proof is a nearer route to the conclusion than its separate premises.
141	القريب أقرب في النظر أهل المناظرة إلى ما هو المقصود أعني رد ما يدعيه الخصم وأن	So debating practice might seem to start with the proof, not the parts.
142	النقض يدل على فساد الدليل صريحاً بخلاف المناقضة فإنها تدل على خفائه وأما المعارضة	Naqd explicitly shows the proof's failure; munaqada and mu'arada differ in force.
143	فهي قدح في الدليل ضمناً فلا عبرة بها فلو قدم المصنف النقض على المناقضة لوافق	Opposition is more indirect, so another ordering might appear preferable.
144	الوضع الطبع وتقرير الجواب أن طبع البحث وإن اقتضى تقديم النقض ولكن تقدم متعلق	Response: although naqd seems prior, its object is posterior to the premises.
145	 المناقضة وهو مقدمات الدليل على متعلق النقض الذي هو مجموع	Munaqada concerns premises, which are ontologically prior to the whole proof.
146	الدليل يقتضي تقديم المناقضة لتعلقه بالجزء الدليل ولا شك أن الجزء متقدم	Hence premise-level denial can legitimately precede proof-level refutation.
147	على الكل طبعاً فكذا ما يتعلق به على قياس ما تقرر في علم المنطق من تقديم	This is likened to logic's priority of what leads to conception before assent.
148	الموصل إلى التصور على الموصل إلى التصديق هذا ويمكن أن يقال	A secondary explanatory route is then proposed.
149	يجوز أن يكون عدول المصنف مما ذكره الإمام الرازي لنكتة وهي رعاية التناسب	The author may have shifted order to preserve a certain conceptual symmetry.
150	بين النقض والمعارضة في كون كل واحد منهما استدلالاً وراجعاً إلى منع	Naqd and mu'arada both involve argumentative resistance rather than simple demand.
151	مقدمة غير معينة وفي هذا المقام أبحاث نفيسة تطلب من الحاشية الفتحية	He refers readers to another gloss for more detailed discussion.
152	قوله أي الذي هو شاهد المنع المشهور فيما بينهم أن المنع	He now defines the "witness" or supporting sign associated with denial.
153	في هذا المقام إنما يقارن الند فقط وأما الشاهد فإن اعتبر مفهومه	Common usage links a certain companion notion specifically to one objection type.
154	فقط وهو ما يدل على فساد الدليل من غير اعتبار قيد الحيثية فقد يصدق	If "witness" is taken broadly, it may overlap with sanad.
155	على السند بهذا الاعتبار فيقارن المنع بطريق المطالبة وإن اعتبر مفهوم	If taken with a stricter qualification, the overlap disappears.
156	مع ذلك القيد فلا يصدق عليه ولا يقارن المنع المذكور وإنما يقارن	He distinguishes broad versus narrow readings of "witness."
157	المنع بطريق الإبطال فإن السند وإن كان يصدق عليه أنه مشاهد لكن	Sanad may show failure, but not always in the same technical sense.
158	لا يصدق عليه من حيث أنه شاهد فعلى التقدير الأول الشاهد أعم من السند	On one reading, witness is broader than sanad.
159	وعلى الثاني مباين له بالاعتبار وقد يطلق الشاهد على ما يدل على فساد	On another reading, the two are distinct.
160	الدليل من حيث إنه ذلك وعلى هذا لا يصدق على السند أصلاً بل يكون	If defined by proof-failure as such, sanad is excluded altogether.
161	مبايناً له لذات والاعتبار جميعاً إذا تحققت هذا علمت ما في تفسير	This shows the defect in equating sanad with witness.
162	السند بالشاهد من الخلل اللهم إلا أن يقال السند مرادف الشهادة عند الأصوليين وفيه	He notes an attempted usuli defense of the equivalence.
163	أن ذلك مبني على جعل النقض والمناقضة شيئاً واحد وحصر الكلام السائل في المناقضة والمعارضة	But that depends on a different classification collapsing naqd and munaqada.
164	وأنه اصطلاح آخر وتوضيحه أن المناقضة عندهم عبارة عن النقض ومرجعها إلى الممانعة	This is presented as an alternative terminology, not the current one.
165	لأنها امتناع من تسليم بعض المقدمات من غير تعيين وتخلف الحكم عندهم بمنزلة السند	In that system, failed entailment functions like the supporting sanad.
166	فتأمل قوله ومنها نوع إلخ لا مرية في أن المناقضة منع بطريق المطالبة فقط ففي	Returning to the present system, he questions a subtype's placement under munaqada.
167	اندراج هذا النوع تحت المناقضة خفاء فإنه في الحقيقة عبارة عن دعوى فساد المقدمة	The subtype is really a claim that a premise is defective.
168	بناء على الاشتباه فالأحرى أن يجعل من أنواع النقض الإجمالية فتأمل قوله 	It might better be counted under broad refutation instead.
169	إنما يرد على مقدمة مبنية على الفاظ اعلم أن السبب العالم في تحقيق الغلط في الدليل	He introduces fallacy arising from verbal ambiguity in a premise.
170	هو عدم التمييز بين الشيء وما يشبهه لأنه لو لم يشتبه شيء بما شابهه لما أمكن	Error stems from confusing a thing with what resembles it.
171	التلفظ ثم الغلط إما أن يكون بسبب المادة أو بسبب الصورة أو بسببهما	Fallacy may be material, formal, or both.
172	جميعاً وأسباب الغلط البسيط تنحصر في اثني عشر قسماً ستة منها في الألفاظ و	Simple errors are divided into twelve types, six verbal and six semantic.
173	ستة منها في المعاني وقد يتألف منها أقسام أخرى يعني معرفة بساقطها عنها	Further composite classes arise from combining those basic types.
174	وإن أردت الوقوف على معرفة هذه الأقسام وأمثلتها وحلها فارجع إلى شرح القسطاس	He refers readers to Samarqandi's Sharh al-Qistas for details.
175	 للإمام السمرقندي قوله أي إقامة الدليل على خلاف ما أقامه على	He resumes the definition of mu'arada as proving the contrary.
176	رأي الإمام المحقق من أهل النظر وإما على رأي صاحب المقدمة فالغصب	Under another view, acting too early in this way counts as usurpation.
177	قوله فهو غصب إلخ قيل فما سمي غصباً لأن السائل إذا كان في منع	He explains why the move is called "ghasb" in debate.
178	المقدمة لا يكون معارضاً بل يكون مناقضاً فالمعارضة منصب	The questioner seizes the role of the objector-prover improperly.
179	الغير وقد عصب السائل ذلك المنصب وقيل لأن التعليل قبل إثبات	One explanation is role usurpation; another concerns procedural right.
180	المقدمة الممنوعة حق المعلل ولا حق للسائل إلا المنع المجرد	The establisher has priority to prove his premise before counter-proof appears.
181	أو منع سند المطالبة قوله لاستلزامه الخبط إلخ حاصله	The questioner's right is limited to denial or challenging the basis of demand.
182	أن الغصب لا يسمع ولا يلتفت إليه قوله خلاف البعض	Therefore ghasb is generally inadmissible.
183	إلخ نقل من الإمام ركن الدين العميدي أنه كان يسمع الغصب	But Rukn al-Din al-Amidi reportedly allowed hearing it.
184	ويقول إن منعه وعدم سماعه لا يجدي نفعاً فإن السائل	Al-Amidi argues that exclusion is often practically useless.
185	Folio 5	Folio marker for the fifth manuscript page.
186	قد يكون ذهنياً فيخرج ما قاله عن صورة الغصب بأدنى تفسير مثلاً في المثال المذكور	The questioner can often rephrase the move to make it admissible.
187	آنفاً يقول لا نسلم أن الحلي مراد هو غير مراداً لثبت الحكم فيه لكنه غير ثابت وذلك لقوله عليه الصلاة	Illustrative case: dispute over whether "ornament" is intended in a legal proof.
188	والسلام لا زكاة في الحلي فإن قال المعلل هذا غصب وهوغير مسموع فيقول السائل هكذا الحلي	A hadith about no alms on ornaments supplies the counterexample.
189	غير مراد إذ لو كان مراد منه لكان مع جميع لوازم الإرادة كالحكم في صورة النزاع والحرج 	The questioner reformulates the objection through entailments of intended meaning.
190	بعدم الأداء لكن جميع اللوازم منتفية لقوله عليه السلام لا زكاة في الحلي فح يكون قياساً 	Because the entailments fail, the objection becomes a structured conditional proof.
